,UNITID,Cluster
812,135957,4
813,136048,1
814,136066,4
815,136109,1
816,136145,6
817,136172,3
818,136206,0
819,136215,2
820,136233,6
821,136288,4
822,136303,6
823,136330,3
824,136358,2
825,136400,2
826,136473,2
827,136491,6
828,136516,2
829,136659,6
831,136765,6
832,136774,3
833,136783,1
834,136826,6
835,136950,3
836,137023,6
837,137032,2
838,137078,2
839,137087,6
840,137096,2
841,137120,6
842,137148,0
843,137209,2
844,137245,6
845,137272,3
846,137281,6
847,137315,6
848,137351,2
849,137476,3
850,137537,4
851,137546,3
852,137564,3
853,137591,1
854,137713,6
855,137759,2
856,137777,3
857,137801,4
858,137810,4
859,137847,3
860,137856,6
861,137865,6
862,137953,3
863,137962,3
864,138132,1
865,138187,2
866,138275,3
867,138284,6
868,138293,3
869,138309,0
870,138354,3
871,138372,6
872,138479,6
873,138488,6
874,138497,6
875,138558,6
876,138600,3
877,138655,4
878,138664,0
879,138682,4
880,138691,6
881,138716,7
882,138761,4
883,138789,3
884,138813,0
885,138822,1
886,138840,4
887,138868,3
888,138901,2
890,138938,4
891,138947,7
892,138956,6
893,139010,6
894,139074,4
895,139092,1
896,139144,3
897,139153,4
898,139199,3
899,139205,3
900,139214,0
901,139250,6
902,139278,6
903,139287,4
904,139311,3
906,139357,6
907,139366,3
908,139384,6
909,139393,3
910,139463,6
911,139506,1
912,139579,4
913,139621,6
914,139630,3
915,139658,3
916,139700,6
917,139719,7
918,139746,4
919,139755,3
920,139764,3
921,139861,3
922,139904,6
923,139931,3
924,139940,3
925,139959,3
926,139968,6
927,139986,6
928,139995,1
929,140003,4
930,140012,6
932,140164,3
933,140234,3
934,140243,6
935,140252,3
936,140331,6
937,140340,0
938,140447,3
939,140553,7
941,140599,6
942,140678,6
943,140696,3
944,140720,7
945,140818,3
946,140827,1
947,140872,3
948,140942,6
949,140951,3
950,140960,7
951,140988,3
952,141006,6
953,141015,3
954,141060,7
955,141097,3
956,141158,6
957,141167,3
958,141185,3
959,141237,3
960,141255,6
961,141264,3
962,141325,3
963,141334,3
964,141361,3
965,141468,4
966,141486,2
967,141565,2
968,141574,2
969,141608,1
970,141644,2
971,141680,2
972,141796,2
973,141802,2
974,141811,2
975,141839,2
976,141848,4
978,141945,1
979,141981,2
980,141990,2
981,142054,4
982,142090,3
983,142115,3
984,142179,6
985,142276,3
986,142285,3
987,142294,3
988,142328,3
989,142337,0
990,142407,1
991,142416,1
992,142443,6
993,142461,3
994,142489,1
995,142522,2
996,142559,6
998,142869,1
999,142878,1
1000,142887,3
1001,143048,3
1002,143084,3
1003,143118,3
1004,143181,1
1005,143215,6
1007,143279,6
1008,143288,3
1009,143297,3
1010,143303,4
1011,143358,3
1012,143376,1
1013,143464,1
1014,143473,1
1015,143482,1
1016,143491,1
1017,143516,1
1018,143534,1
1019,143543,1
1020,143552,1
1021,143613,6
1023,143695,1
1026,144005,3
1028,144050,3
1029,144157,6
1030,144166,6
1031,144175,6
1032,144184,2
1033,144193,2
1034,144209,2
1035,144218,2
1036,144281,3
1037,144351,3
1038,144467,1
1039,144485,4
1040,144564,6
1041,144573,1
1042,144740,3
1043,144795,1
1044,144865,2
1045,144883,3
1046,144892,3
1047,144944,6
1048,144962,3
1049,144971,3
1050,145099,4
1051,145239,4
1053,145309,1
1054,145336,6
1055,145354,4
1056,145372,3
1057,145406,1
1058,145424,1
1059,145433,1
1060,145460,3
1061,145497,3
1062,145521,6
1064,145600,3
1065,145619,3
1067,145637,3
1068,145646,3
1069,145682,6
1070,145691,3
1071,145707,6
1072,145725,3
1073,145770,0
1074,145813,3
1075,145831,6
1077,146010,3
1078,146205,6
1080,146278,6
1081,146296,6
1082,146339,3
1083,146348,6
1084,146366,6
1085,146393,3
1086,146418,6
1087,146427,3
1088,146454,1
1089,146472,6
1090,146481,3
1092,146506,6
1093,146533,3
1094,146603,6
1095,146612,3
1096,146621,3
1097,146667,3
1098,146676,6
1099,146685,6
1100,146700,4
1101,146719,3
1103,146755,4
1104,146791,4
1105,146807,1
1106,146816,4
1107,146825,3
1109,147004,6
1110,147013,3
1112,147129,3
1113,147165,4
1114,147244,3
1115,147341,3
1116,147369,3
1117,147378,6
1118,147396,3
1119,147411,2
1120,147439,1
